year,rawmaterial,punjab,distance1,himachalpradesh,distance2,madhyapradesh,distance3,mizoram,distance4
2000,urea,2000,830,1000,900,200,320,1000,900
2000,DAP,1250,830,3000,900,4000,320,600,900
2000,potash,1800,830,1300,900,1670,320,700,900
2000,sulphur,1280,830,1450,900,1900,320,13600,900
2000,zinc,180,830,1300,900,190,320,1000,900
2000,gypsum,1200,830,1350,900,1500,320,650,900
2000,superphosphate,1450,830,1560,900,2500,320,1200,900
2000,mg,1300,830,1200,900,900,320,1290,900
2001,urea,1980,830,1500,900,2400,320,3000,900
2001,DAP,1200,830,3200,900,2300,320,250,900
2001,potash,1900,830,2345,900,12400,320,1450,900
2001,sulphur,1240,830,10000,900,1200,320,1760,900
2001,zinc,2500,830,300,900,850,320,1260,900
2001,gypsum,450,830,2300,900,340,320,1240,900
2001,superphosphate,1200,830,1500,900,1800,320,1000,900
2001,mg,1200,830,1680,900,1920,320,2600,900
2002,urea,1000,830,3000,900,1500,320,500,900
2002,DAP,1500,830,1200,900,1560,320,600,900
2002,potash,1000,830,1270,900,1360,320,1780,900
2002,sulphur,1260,830,1280,900,1350,320,1400,900
2002,zinc,1300,830,350,900,500,320,900,900
2002,gypsum,2000,830,3000,900,1500,320,950,900
2002,superphosphate,2400,830,230,900,4500,320,1260,900
2002,mg,1520,830,1360,900,3240,320,4500,900
2003,urea,3000,830,300,900,600,320,200,900
2003,DAP,390,830,4500,900,3500,320,2500,900
2003,potash,1290,830,1300,900,1400,320,1600,900
2003,sulphur,1400,830,1500,900,1600,320,7000,900
2003,zinc,1200,830,90,900,340,320,670,900
2003,gypsum,1000,830,1490,900,390,320,750,900
2003,superphosphate,350,830,230,900,560,320,750,900
2003,mg,350,830,750,900,850,320,1250,900
2004,urea,1450,830,650,900,900,320,1000,900
2004,DAP,1230,830,560,900,120,320,1500,900
2004,potash,1300,830,1450,900,1560,320,1560,900
2004,sulphur,1260,830,1400,900,340,320,450,900
2004,zinc,1300,830,2500,900,450,320,1200,900
2004,gypsum,1500,830,2450,900,1390,320,1900,900
2004,superphosphate,1260,830,2340,900,1900,320,850,900
2004,mg,340,830,650,900,850,320,970,900
